,Name,Year,Level,Genre,Score,Director,Votes,Gross_in_Million
0,Fantastic Beasts: The Crimes of Grindelwald,2018,PG-13,Adventure Family Fantasy,6.9,David Yates,67727,123.141406
1,The Ballad of Buster Scruggs,2018,R,Comedy Drama Musical,7.4,Ethan Coen,28672,0.0
2,Bohemian Rhapsody,2018,PG-13,Biography Drama Music,8.4,Bryan Singer,130232,156.32315
3,Creed II,2018,PG-13,Drama Sport,8.0,Steven Caple Jr.,9678,64.336284
4,The Lion King,2019,Not Rated,Animation Adventure Drama,0.0,Jon Favreau,0,0.0
5,Ralph Breaks the Internet,2018,PG,Animation Adventure Comedy,7.6,Phil Johnston,10891,93.538233
6,Robin Hood,2018,PG-13,Action Adventure Thriller,5.3,Otto Bathurst,6218,17.027682
7,Widows,2018,R,Crime Drama Thriller,7.4,Steve McQueen,14974,28.660245
8,A Star Is Born,2018,R,Drama Music Romance,8.2,Bradley Cooper,106259,191.917436
9,Aquaman,2018,PG-13,Action Adventure Fantasy,0.0,James Wan,0,0.0
10,The Grinch,2018,PG,Animation Comedy Family,6.4,Yarrow Cheney,7880,185.779195
11,Outlaw King,2018,R,Action Biography Drama,7.0,David Mackenzie,26930,0.0
12,Fantastic Beasts and Where to Find Them,2016,PG-13,Adventure Family Fantasy,7.3,David Yates,334032,234.037575
13,The Christmas Chronicles,2018,TV-PG,Adventure Comedy Family,7.4,Clay Kaytis,9468,0.0
14,Overlord,2018,R,Action Adventure Horror,7.1,Julius Avery,15910,20.609015
15,Crazy Rich Asians,2018,PG-13,Comedy Romance,7.2,Jon M. Chu,48740,173.907689
16,Venom,2018,PG-13,Action Sci-Fi,7.0,Ruben Fleischer,139762,211.890652
17,Instant Family,2018,PG-13,Comedy Drama,7.6,Sean Anders,2744,38.777769
18,Incredibles 2,2018,PG,Animation Action Adventure,7.9,Brad Bird,142117,608.517638
19,Peppermint,2018,R,Action Drama Thriller,6.5,Pierre Morel,13040,35.418723
20,The Meg,2018,PG-13,Action Horror Sci-Fi,5.8,Jon Turteltaub,76023,143.005856
21,Mission: Impossible - Fallout,2018,PG-13,Action Adventure Thriller,7.9,Christopher McQuarrie,172767,220.159104
22,The Princess Switch,2018,Not Rated,Romance,6.1,Mike Rohl,5888,0.0
23,The Favourite,2018,R,Biography Comedy Drama,8.2,Yorgos Lanthimos,2657,0.57431
24,Captain Marvel,2019,Not Rated,Action Adventure Sci-Fi,0.0,Anna Boden,0,0.0
25,Mile 22,2018,R,Action Adventure Crime,6.1,Peter Berg,29012,36.108758
26,Green Book,2018,PG-13,Biography Comedy Drama,8.2,Peter Farrelly,3579,10.114491
27,Deadpool 2,2018,R,Action Adventure Comedy,7.8,David Leitch,306761,318.491426
28,The Girl in the Spider's Web,2018,R,Action Crime Drama,6.1,Fede Alvarez,7465,14.578647
29,The Nun,2018,R,Horror Mystery Thriller,5.5,Corin Hardy,60291,117.443149
30,First Man,2018,PG-13,Biography Drama History,7.6,Damien Chazelle,53672,44.607615
31,Pokémon Detective Pikachu,2019,Not Rated,Animation Adventure Family,0.0,Rob Letterman,0,0.0
32,Avengers: Infinity War,2018,PG-13,Action Adventure Fantasy,8.5,Anthony Russo,530034,678.815482
33,Cam,2018,TV-MA,Horror Mystery Thriller,6.0,Daniel Goldhaber,6557,0.0
34,The Lego Movie 2: The Second Part,2019,Not Rated,Animation Action Adventure,0.0,Mike Mitchell,0,0.0
35,The Predator,2018,R,Action Adventure Horror,5.6,Shane Black,50019,51.024708
36,The Greatest Showman,2017,PG,Biography Drama Musical,7.7,Michael Gracey,168084,174.340174
37,Toy Story 4,2019,Not Rated,Animation Adventure Comedy,0.0,Josh Cooley,0,0.0
38,The Equalizer 2,2018,R,Action Crime Thriller,6.8,Antoine Fuqua,57872,102.084362
39,Vice,2018,R,Biography Drama History,0.0,Adam McKay,0,0.0
40,Mortal Engines,2018,PG-13,Action Adventure Fantasy,0.0,Christian Rivers,0,0.0
41,BlacKkKlansman,2018,R,Biography Crime Drama,7.6,Spike Lee,59143,48.27196
42,The Happytime Murders,2018,R,Action Comedy Crime,5.2,Brian Henson,9257,20.706452
43,Suspiria,2018,R,Fantasy Horror Mystery,7.3,Luca Guadagnino,8812,2.366096
44,Halloween,2018,R,Horror Thriller,7.1,David Gordon Green,49791,159.13645
45,The Nutcracker and the Four Realms,2018,PG,Adventure Family Fantasy,5.6,Lasse Hallström,7738,49.759909
46,Mary Poppins Returns,2018,PG,Animation Adventure Family,0.0,Rob Marshall,0,0.0
47,Once Upon a Time in Hollywood,2019,Not Rated,Comedy Drama,0.0,Quentin Tarantino,0,0.0
48,The Lion King,1994,G,Animation Adventure Drama,8.5,Roger Allers,798186,312.9
